EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,performance level
2610,Ronald,Marquez,23-Sep-22,25-Jan-23,Area Sales Manager,Kelly James,ronald.marquez@bilearner.com,TNS,Active,Full-Time,Zone B,Full-Time,Retirement,Join difference order size occur entire sell.,Sales,General - Con,30-12-1947,TN,Foreman,Male,90224,White,Widowed,Fully Meets,2,LOW
2611,Arabella,Hunter,26-Dec-19,04-Jun-22,Area Sales Manager,Juan Henson,arabella.hunter@bilearner.com,PYZ,Active,Part-Time,Zone A,Temporary,Voluntary,Ground bad official number stuff stop leader.,Sales,Wireline Construction,22-09-1956,TN,Manager,Male,22260,Black,Widowed,Fully Meets,2,LOW
2612,Amiya,Richardson,27-Aug-18,19-Dec-19,Area Sales Manager,Jacob Nelson,amiya.richardson@bilearner.com,WBL,Active,Part-Time,Zone B,Part-Time,Retirement,Site cut debate own born six.,Sales,Field Operations,01-07-1963,ID,Driller,Male,95112,White,Married,Fully Meets,4,HIGH
2613,Raquel,Sosa,12-Dec-22,07-Mar-23,Area Sales Manager,Lisa Green,raquel.sosa@bilearner.com,NEL,Active,Part-Time,Zone B,Full-Time,Resignation,Something service already fish create firm job.,Sales,Project Management - Eng,16-07-1944,ID,Project Manager,Male,13814,Black,Single,Fully Meets,5,VERY HIGH
2614,Andy,Stewart,13-May-21,,Area Sales Manager,Jose Copeland,andy.stewart@bilearner.com,PL,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,Field Operations,14-03-1987,ID,Foreman,Male,29887,Black,Divorced,Fully Meets,5,VERY HIGH
2615,Patrick,Padilla,31-Mar-21,,Administrative Assistant,Richard Price,patrick.padilla@bilearner.com,BPC,Active,Contract,Zone B,Part-Time,Unk,,Sales,Finance & Accounting,25-05-1962,WA,Controller,Female,69576,Black,Single,Fully Meets,4,HIGH
2616,Destiney,Navarro,14-Aug-19,04-Sep-22,Administrative Assistant,Gary Ortiz,destiney.navarro@bilearner.com,CCDR,Active,Full-Time,Zone A,Part-Time,Involuntary,Still box ten network apply.,Sales,Engineers,18-12-1972,WA,Engineer,Female,62733,Black,Married,Fully Meets,1,LOW
2617,Yadira,Barron,02-Aug-20,30-Dec-22,Administrative Assistant,Tanya Wilson,yadira.barron@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Retirement,Piece manage well onto.,Sales,Catv,26-04-1995,WA,Foreman,Female,78047,Hispanic,Single,Fully Meets,4,HIGH
2618,Anika,Bender,04-Jun-19,,Accountant I,Linda Lewis,anika.bender@bilearner.com,EW,Active,Part-Time,Zone A,Full-Time,Unk,,Admin Offices,Wireline Construction,20-11-1994,MA,Laborer,Female,22491,White,Married,Fully Meets,4,HIGH
2619,Carlo,Giles,17-Jun-20,08-Feb-22,Area Sales Manager,Alexandria Brown,carlo.giles@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Involuntary,Use stay among place dinner.,Sales,Field Operations,06-04-1946,MA,Laborer,Male,36412,Hispanic,Divorced,Fully Meets,5,VERY HIGH
2620,Kaylin,Dillon,04-Mar-21,,Area Sales Manager,Sarah Bates,kaylin.dillon@bilearner.com,NEL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,02-10-1973,MA,Laborer,Male,14776,Asian,Married,Fully Meets,1,LOW
2621,Laura,Bullock,14-Sep-18,,Area Sales Manager,Mr. Benjamin Lucas,laura.bullock@bilearner.com,PL,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Technology / It,06-08-1942,AZ,Manager,Male,57305,White,Single,Fully Meets,2,LOW
2622,Mary,Moore,20-Jul-20,,Area Sales Manager,Sheila Taylor,mary.moore@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Executive,30-09-1991,AZ,Vp,Male,95143,Asian,Widowed,Fully Meets,4,HIGH
2623,Harper,Clark,21-May-20,13-Jun-21,Area Sales Manager,Benjamin Cooper,harper.clark@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Game success stock hold sometimes will approach.,Sales,Field Operations,13-07-1953,AZ,Tower Hand,Male,55592,Asian,Divorced,Fully Meets,2,LOW
2624,Charles,Howard,11-Jun-23,28-Jul-23,Area Sales Manager,Janet Andrews,charles.howard@bilearner.com,SVG,Active,Part-Time,Zone C,Temporary,Retirement,Simple them do consider grow.,Sales,Wireline Construction,22-07-1984,AL,Supervisor,Male,12964,Other,Single,Fully Meets,2,LOW
2625,Jaron,Rojas,27-Nov-22,19-May-23,Area Sales Manager,William Ellis,jaron.rojas@bilearner.com,EW,Active,Full-Time,Zone B,Full-Time,Retirement,Situation anything economy time relationship.,Sales,Splicing,09-11-1943,TN,Driller,Male,88783,Asian,Divorced,Fully Meets,2,LOW
2626,Jordyn,Mcguire,02-Mar-20,27-May-22,Area Sales Manager,Kenneth Perry,jordyn.mcguire@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Resignation,Never whatever loss economic off without cause.,Sales,Project Management - Con,04-09-1976,TN,Manager,Male,11087,Asian,Widowed,Fully Meets,4,HIGH
2627,Valentino,Myers,29-Jan-23,24-May-23,Area Sales Manager,Michael Taylor,valentino.myers@bilearner.com,TNS,Active,Full-Time,Zone C,Part-Time,Retirement,Key as eye past. Three would affect about.,Sales,Wireline Construction,26-05-1990,TN,Foreman,Male,43552,Other,Divorced,Fully Meets,4,HIGH
2628,Charles,Coleman,07-Dec-21,,Area Sales Manager,Thomas Roberts,charles.coleman@bilearner.com,BPC,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Sales & Marketing,19-11-1991,TN,Vp,Male,33113,Hispanic,Divorced,Fully Meets,2,LOW
2629,Kamden,Cummings,19-Mar-23,11-Jul-23,Area Sales Manager,Stephen Green,kamden.cummings@bilearner.com,CCDR,Active,Contract,Zone B,Temporary,Retirement,Hot key speak song thus her member.,Sales,Underground,04-02-1975,ID,Laborer,Male,12650,White,Single,Fully Meets,1,LOW
2630,Kiley,Wagner,10-Jun-22,14-Feb-23,Area Sales Manager,Andrea Dean,kiley.wagner@bilearner.com,EW,Active,Part-Time,Zone B,Full-Time,Involuntary,Force way bank trade.,Sales,Field Operations,04-11-1994,ID,Laborer,Male,34069,Asian,Widowed,Fully Meets,5,VERY HIGH
2631,Darien,Young,03-Mar-21,,Area Sales Manager,Maria Hale,darien.young@bilearner.com,MSC,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Catv,09-04-1998,ID,Foreman,Female,50389,Black,Widowed,Fully Meets,2,LOW
2632,Madeline,Suarez,06-Mar-22,,Administrative Assistant,Joshua Carpenter,madeline.suarez@bilearner.com,NEL,Active,Contract,Zone C,Part-Time,Unk,,Sales,Field Operations,20-10-1975,WA,Foreman,Female,92311,Hispanic,Divorced,Fully Meets,4,HIGH
2633,Zain,Nolan,08-Aug-22,,Administrative Assistant,Steven Hall,zain.nolan@bilearner.com,PL,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,09-09-1985,WA,Manager,Female,10525,White,Single,Fully Meets,5,VERY HIGH
2634,Hezekiah,Mcgee,12-Mar-23,,Administrative Assistant,David Clark,hezekiah.mcgee@bilearner.com,PYZ,Active,Part-Time,Zone B,Temporary,Unk,,Sales,Field Operations,16-02-1943,WA,Technician,Female,12008,Asian,Single,Fully Meets,4,HIGH
2635,Maxim,Phillips,01-May-19,16-Feb-23,Accountant I,Lauren Shepard,maxim.phillips@bilearner.com,SVG,Active,Full-Time,Zone B,Temporary,Voluntary,Audience board south. Per state model beat.,Admin Offices,General - Con,26-07-1957,MA,Locator,Female,86499,Asian,Divorced,Fully Meets,1,LOW
2636,Gwendolyn,Hogan,13-Sep-18,04-Nov-20,Area Sales Manager,Jason Hayes,gwendolyn.hogan@bilearner.com,PYZ,Active,Full-Time,Zone B,Temporary,Resignation,Almost across fly recent go.,Sales,General - Eng,20-11-1970,MA,Technician,Male,12113,Asian,Married,Fully Meets,5,VERY HIGH
2637,Kaia,Hernandez,16-Nov-22,,Area Sales Manager,Troy Bennett,kaia.hernandez@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Unk,,Sales,Project Management - Con,04-10-1967,MA,Supervisor,Male,39143,Asian,Divorced,Fully Meets,5,VERY HIGH
2638,Mathias,Tran,20-Nov-21,17-Mar-23,Area Sales Manager,Michelle Guzman,mathias.tran@bilearner.com,NEL,Active,Contract,Zone B,Full-Time,Voluntary,Matter fight attention this strategy.,Sales,Catv,10-01-1957,AZ,Supervisor,Male,16470,Asian,Divorced,Fully Meets,2,LOW
2639,Simeon,Roy,29-Sep-20,,Area Sales Manager,Sandra Young,simeon.roy@bilearner.com,PL,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Project Management - Con,22-09-1975,AZ,Manager,Male,56991,Asian,Married,Fully Meets,2,LOW
2640,Magdalena,Whitehead,28-Aug-21,06-Sep-22,Area Sales Manager,Jacob Perez,magdalena.whitehead@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Voluntary,Company set policy drop become single.,Sales,Wireline Construction,06-11-1962,AZ,Foreman,Male,9642,Black,Single,Fully Meets,4,HIGH
2641,Gwendolyn,Mccall,28-Apr-21,22-Mar-22,Area Sales Manager,Lisa Dyer,gwendolyn.mccall@bilearner.com,CCDR,Active,Full-Time,Zone A,Full-Time,Voluntary,Politics suggest company trade treat region.,Sales,Aerial,20-07-1975,AZ,Groundman,Male,23897,Asian,Married,Fully Meets,2,LOW
2642,Demarion,Harrington,15-Jun-22,05-May-23,Area Sales Manager,Rebecca Taylor DVM,demarion.harrington@bilearner.com,SVG,Active,Full-Time,Zone C,Full-Time,Voluntary,Significant color always require evening.,Sales,Field Operations,13-06-1951,AL,Laborer,Male,65470,Asian,Divorced,Fully Meets,4,HIGH
2643,Katelyn,Brown,15-Apr-22,10-Oct-22,Area Sales Manager,Deborah Stephens,katelyn.brown@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Voluntary,Likely debate ever college strategy way can.,Sales,Wireline Construction,24-12-1966,TN,Clerical,Male,60277,Black,Divorced,Fully Meets,5,VERY HIGH
2644,Miranda,Keith,19-Jul-20,10-Apr-21,Area Sales Manager,Patrick Lopez,miranda.keith@bilearner.com,MSC,Active,Full-Time,Zone C,Part-Time,Involuntary,Within rise suggest war check happy whom.,Sales,Aerial,23-01-1999,TN,Lineman,Male,25859,Other,Single,Fully Meets,5,VERY HIGH
2645,Breanna,Kerr,02-Jul-20,,Area Sales Manager,Nicholas Martinez,breanna.kerr@bilearner.com,TNS,Active,Contract,Zone C,Temporary,Unk,,Sales,Wireline Construction,27-06-1947,TN,Manager,Male,22815,Asian,Married,Fully Meets,4,HIGH
2646,Saniya,Ho,04-Aug-19,,Area Sales Manager,Cathy Whitehead,saniya.ho@bilearner.com,PYZ,Active,Contract,Zone A,Part-Time,Unk,,Sales,Project Management - Con,17-06-2001,ID,Manager,Male,87653,Black,Widowed,Fully Meets,1,LOW
2647,Rylan,Key,09-Jan-19,,Area Sales Manager,Lisa Johnson,rylan.key@bilearner.com,WBL,Active,Contract,Zone A,Temporary,Unk,,Sales,Project Management - Con,03-11-1950,ID,Coordinator,Male,33659,Hispanic,Single,Fully Meets,5,VERY HIGH
2648,Nathaly,Stevens,01-Oct-22,,Area Sales Manager,William Fernandez,nathaly.stevens@bilearner.com,NEL,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Fielders,05-07-1994,ID,Engineer,Male,92454,Other,Married,Fully Meets,2,LOW
2649,Maximus,Delgado,28-Sep-20,02-Jun-23,Area Sales Manager,Leslie Scott,maximus.delgado@bilearner.com,PL,Active,Part-Time,Zone A,Full-Time,Retirement,Appear reality artist there understand.,Sales,Project Management - Con,21-03-1973,NY,Coordinator,Female,59871,White,Widowed,Fully Meets,4,HIGH
2650,Karley,Long,15-Nov-18,,Administrative Assistant,Vanessa Donaldson DVM,karley.long@bilearner.com,BPC,Active,Part-Time,Zone B,Full-Time,Unk,,Sales,Project Management - Con,15-08-1964,WA,Project Manager,Female,28100,Black,Single,Fully Meets,1,LOW
2651,Demarcus,Frazier,24-Nov-20,,Administrative Assistant,Steven Saunders,demarcus.frazier@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Unk,,Sales,Project Management - Con,02-03-1992,WA,Coordinator,Female,30181,Hispanic,Divorced,Fully Meets,2,LOW
2652,Fernando,Richard,09-Jul-23,14-Jul-23,Administrative Assistant,Virginia Smith,fernando.richard@bilearner.com,SVG,Active,Contract,Zone C,Temporary,Voluntary,Continue personal federal another.,Sales,General - Sga,08-03-1954,MA,Manager,Female,15228,Other,Widowed,Fully Meets,4,HIGH
2653,Keon,Gonzalez,20-Apr-23,08-May-23,Area Sales Manager,Brett Vargas,keon.gonzalez@bilearner.com,PYZ,Active,Full-Time,Zone C,Part-Time,Retirement,Garden player quickly body science.,Sales,Wireline Construction,21-04-1944,MA,Operator,Male,25594,White,Widowed,Fully Meets,1,LOW
2654,Lauryn,Anthony,22-Aug-19,07-Jan-20,Area Sales Manager,Mark Hernandez,lauryn.anthony@bilearner.com,WBL,Active,Full-Time,Zone C,Temporary,Resignation,Stay herself cultural pass large.,Sales,General - Con,09-07-1955,MA,Operator,Male,97492,Black,Divorced,Fully Meets,4,HIGH
2655,Amanda,Allison,02-Aug-22,07-Apr-23,Area Sales Manager,John Wright,amanda.allison@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Mother fine late simply close material yeah.,Sales,General - Con,08-11-1964,AZ,Manager,Male,48881,Black,Divorced,Fully Meets,2,LOW
2656,Urijah,Houston,31-Oct-18,23-Jan-20,Area Sales Manager,Tony Moore,urijah.houston@bilearner.com,PL,Active,Part-Time,Zone B,Part-Time,Voluntary,Detail see down common great on especially.,Sales,Aerial,10-02-1957,AZ,Splicer,Male,71509,Hispanic,Single,Fully Meets,4,HIGH
2657,Trace,Brandt,23-Nov-21,20-Jul-22,Area Sales Manager,Jeffrey Hodge,trace.brandt@bilearner.com,BPC,Active,Contract,Zone B,Temporary,Voluntary,Decision decade approach.,Sales,Isp,06-06-1995,AZ,Manager,Male,27097,White,Widowed,Fully Meets,2,LOW
2658,Yuliana,Levine,01-Jul-23,21-Jul-23,Area Sales Manager,Emily Simmons,yuliana.levine@bilearner.com,CCDR,Active,Full-Time,Zone A,Temporary,Involuntary,Heart certainly computer beat where pull.,Sales,Engineers,28-03-1960,AZ,Technician,Male,74016,Black,Married,Fully Meets,2,LOW
2659,Bailey,Hays,18-Jul-22,,Area Sales Manager,Jessica Gomez,bailey.hays@bilearner.com,SVG,Active,Part-Time,Zone B,Temporary,Unk,,Sales,General - Con,13-07-1990,AL,Administrative,Male,71519,Black,Single,Fully Meets,2,LOW
2660,Sanaa,Valenzuela,09-Aug-19,,Area Sales Manager,Cheryl Moody,sanaa.valenzuela@bilearner.com,EW,Active,Part-Time,Zone C,Part-Time,Unk,,Sales,Shop (Fleet),27-10-1959,TN,Mechanic,Male,33045,Asian,Divorced,Fully Meets,4,HIGH
2661,Avah,Hayes,06-Jul-21,,Area Sales Manager,Patrick Coleman,avah.hayes@bilearner.com,MSC,Active,Part-Time,Zone A,Temporary,Unk,,Sales,Engineers,11-08-1970,TN,Administrative,Male,65089,Black,Married,Fully Meets,2,LOW
2662,Cody,Bates,02-Feb-21,,Area Sales Manager,Brittney Young,cody.bates@bilearner.com,TNS,Active,Contract,Zone A,Part-Time,Unk,,Sales,General - Con,12-09-1945,ID,Foreman,Male,94177,Asian,Single,Fully Meets,2,LOW
2663,Eli,Grant,06-Jan-23,25-Apr-23,Area Sales Manager,Ryan Ward,eli.grant@bilearner.com,PYZ,Active,Part-Time,Zone B,Part-Time,Resignation,Party employee page half young budget.,Sales,Splicing,21-07-1971,ID,Technician,Male,51278,Hispanic,Divorced,Fully Meets,5,VERY HIGH
2664,Felipe,Rollins,13-Nov-21,,Area Sales Manager,Rose Cunningham,felipe.rollins@bilearner.com,WBL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Project Management - Con,25-06-1961,ID,Manager,Male,14665,Hispanic,Divorced,Fully Meets,1,LOW
2665,Abdiel,Good,15-Mar-20,,Area Sales Manager,Jessica Harrison,abdiel.good@bilearner.com,NEL,Active,Contract,Zone A,Part-Time,Unk,,Sales,Splicing,14-07-1991,NY,Splicer,Male,33859,Hispanic,Married,Fully Meets,4,HIGH
2666,Kaylyn,Frye,07-Nov-18,08-Jan-22,Area Sales Manager,Taylor Lopez,kaylyn.frye@bilearner.com,PL,Active,Part-Time,Zone C,Full-Time,Retirement,Audience run degree that your beyond cell.,Sales,Yard (Material Handling),19-01-1946,WA,Runner,Female,91544,Other,Single,Fully Meets,4,HIGH
2667,Marisol,Alvarez,03-Oct-19,25-Aug-21,Administrative Assistant,Joshua Brown,marisol.alvarez@bilearner.com,BPC,Active,Full-Time,Zone B,Part-Time,Retirement,Environment state tax sound stop group doctor.,Sales,Billable Consultants,08-10-1965,WA,Engineer,Female,9760,Other,Widowed,Fully Meets,2,LOW
2668,Lane,Willis,12-Aug-22,16-Apr-23,Administrative Assistant,Roger Campbell,lane.willis@bilearner.com,CCDR,Active,Contract,Zone C,Part-Time,Resignation,Lot as card response consumer.,Sales,General - Con,12-11-1978,MA,Technician,Female,94176,Asian,Married,Fully Meets,2,LOW
2669,Jade,Becker,22-Dec-18,,Administrative Assistant,Jordan Alexander,jade.becker@bilearner.com,SVG,Active,Part-Time,Zone C,Full-Time,Unk,,Sales,Field Operations,19-01-1952,MA,Foreman,Female,46445,Black,Single,Fully Meets,1,LOW
2670,Vincent,Logan,27-Mar-21,,Area Sales Manager,Alexander Holmes,vincent.logan@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,Engineers,06-03-1994,MA,Engineer,Male,54346,Other,Widowed,Fully Meets,1,LOW
2671,Nasir,Glass,18-Jul-22,,Area Sales Manager,Andrea Whitaker,nasir.glass@bilearner.com,WBL,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Field Operations,23-06-1944,MA,Coordinator,Male,10712,Asian,Widowed,Fully Meets,5,VERY HIGH
2672,Quincy,Shannon,09-Apr-20,06-May-23,Area Sales Manager,Carrie Wells,quincy.shannon@bilearner.com,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Medical message face development moment because.,Sales,Fielders,23-07-1999,AZ,Engineer,Male,3413,Asian,Married,Fully Meets,1,LOW
2673,Alena,Walter,07-Jan-22,,Area Sales Manager,David Figueroa,alena.walter@bilearner.com,PL,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,Splicing,19-07-1999,AZ,Splicer,Male,80938,Other,Single,Fully Meets,4,HIGH
2674,Clay,Compton,15-Jul-22,,Area Sales Manager,Kevin Parrish,clay.compton@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unk,,Sales,Fielders,16-12-1968,AZ,Engineer,Male,31528,White,Widowed,Fully Meets,1,LOW
2675,Kayden,Fernandez,29-Nov-20,16-Jul-22,Area Sales Manager,Monica Miller,kayden.fernandez@bilearner.com,CCDR,Active,Part-Time,Zone C,Part-Time,Resignation,Board up meet away firm yet human find.,Sales,Engineers,07-06-1946,AL,Engineer,Male,11366,Hispanic,Divorced,Fully Meets,5,VERY HIGH
2676,Bryson,Giles,20-Mar-19,23-Sep-20,Area Sales Manager,Brandi Collins,bryson.giles@bilearner.com,SVG,Active,Part-Time,Zone C,Part-Time,Resignation,Memory theory thank past could.,Sales,Engineers,01-08-1972,AL,Engineer,Male,19248,Asian,Single,Fully Meets,2,LOW
